URL,YEAR,MAKE,MODEL,PRICE,STATE,ODOMETER,TRANSMISSION,FUEL,COLOR,CYLINDERS,CONDITION
https://orangecounty.craigslist.org//ctd/5874789806.html,2011,Toyota,Camry,$11995,California,35484,automatic,gas,red,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5873734095.html,2011,Toyota,Camry,$10500,California,164000,automatic,hybrid,blue,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5873695818.html,2010,Toyota,Camry,$9000,California,125000,automatic,gas,black,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5873454419.html,2015,Toyota,Camry,$21995,California,13615,automatic,gas,red,6 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5873378935.html,2012,Toyota,Camry,$13995,California,74291,automatic,other,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5873260593.html,2015,Toyota,Camry,$20999,California,17725,automatic,gas,grey,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5871677816.html,2015,Toyota,Camry,$14988,California,37910,other,gas,unk,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5871665216.html,2013,Toyota,Camry,$18988,California,36310,automatic,gas,unk,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5871407242.html,2010,Toyota,Camry,$9997,California,unk,automatic,other,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5870914816.html,2014,Toyota,Camry,$12995,California,unk,automatic,gas,white,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5870880902.html,2015,Toyota,Camry,$15995,California,unk,automatic,gas,silver,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5870751146.html,2014,Toyota,Camry,$15800,California,26219,automatic,electric,unk,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5870504050.html,2012,Toyota,Camry,$10900,California,unk,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5870462871.html,2014,Toyota,Camry,$13995,California,37945,automatic,other,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5870202880.html,2010,Toyota,Camry,$2013,California,unk,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5869987384.html,2015,Toyota,Camry,$344,California,37201,automatic,gas,unk,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5868792846.html,2011,Toyota,Camry,$15488,California,32315,automatic,hybrid,white,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5868426296.html,2014,Toyota,Camry,$14998,California,43916,automatic,gas,white,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5868421385.html,2012,Toyota,Camry,$16879,California,71808,automatic,gas,grey,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5867952895.html,2010,Toyota,Camry,$6000,California,143102,automatic,gas,red,4 cylinders,excellent,salvage
https://orangecounty.craigslist.org//ctd/5867657756.html,2015,Toyota,Camry,$16499,California,unk,automatic,gas,grey,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5867190375.html,2010,Toyota,Camry,$6000,California,143102,automatic,gas,red,4 cylinders,excellent,salvage
https://orangecounty.craigslist.org//ctd/5866106936.html,2015,Toyota,Camry,$17000,California,38432,automatic,gas,unk,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5865925579.html,2015,Toyota,Camry,$16499,California,32374,automatic,gas,black,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5865906881.html,2011,Toyota,Camry,$12495,California,71246,automatic,gas,silver,6 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5865862539.html,2014,Toyota,Camry,$15990,California,37320,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5865715177.html,2014,Toyota,Camry,$17988,California,44931,automatic,gas,silver,unk,unk,clean
https://orangecounty.craigslist.org//cto/5852507036.html,2015,Toyota,Camry,$15499,California,29877,automatic,gas,white,4 cylinders,new,clean
https://orangecounty.craigslist.org//cto/5865418680.html,2011,Toyota,Camry,$10500,California,42500,automatic,gas,black,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5865047829.html,2013,Toyota,Camry,$14498,California,19044,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5865037266.html,2012,Toyota,Camry,$12998,California,47591,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5864611529.html,2010,Toyota,Camry,$10997,California,unk,automatic,other,silver,unk,unk,clean
https://orangecounty.craigslist.org//cto/5864185321.html,2011,Toyota,Camry,$10500,California,92400,automatic,gas,silver,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5863714870.html,2014,Toyota,Camry,$14888,California,21428,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5863284800.html,2015,Toyota,Camry,$15333,California,unk,automatic,gas,white,unk,like new,clean
https://orangecounty.craigslist.org//ctd/5863226650.html,2015,Toyota,Camry,$15200,California,unk,automatic,gas,black,unk,like new,clean
https://orangecounty.craigslist.org//cto/5863066386.html,2010,Toyota,Camry,$8988,California,70000,automatic,gas,unk,unk,unk,clean
